STAID,STANAME,CN,LAT,LON,HGHT
472,ROSTOCK-WARNEMUNDE,DE,54.181667,12.081944,4
473,GREIFSWALD,DE,54.097778,13.4075,2
474,EMDEN-FLUGPLATZ,DE,53.389167,7.226667,0
475,NEURUPPIN,DE,52.905278,12.808333,38
476,HANNOVER,DE,52.465556,9.679444,55
477,MAGDEBURG,DE,52.103056,11.584167,76
479,DUSSELDORF,DE,51.296944,6.77,37
482,LEIPZIG-SCHKEUDITZ,DE,51.435833,12.241389,131
483,DRESDEN-KLOTZSCHE,DE,51.129167,13.755833,227
484,GORLITZ,DE,51.163056,14.953056,238
486,MEININGEN,DE,50.5625,10.376944,450
487,ERFURT-BINDERSLEBEN,DE,50.984444,10.963056,316
488,FICHTELBERG,DE,50.429167,12.955278,1213
489,WURZBURG,DE,49.771389,9.958889,268
490,HOF,DE,50.313056,11.8775,565
491,SAARBRUCKEN/ENSHEIM,DE,49.214167,7.108056,320
492,NURNBERG,DE,49.504167,11.056667,314
493,STRAUBING,DE,48.828333,12.560278,351
494,AUGSBURG,DE,48.426389,10.943056,461
495,KONSTANZ,DE,47.678056,9.190833,443
496,KEMPTEN,DE,47.724167,10.336389,705
593,SCHIPHOL,NL,52.315556,4.790278,-3
595,SOESTERBERG,NL,52.125556,5.273333,13
598,ROTTERDAM,NL,51.960556,4.446667,-4
599,GILZE-RIJEN,NL,51.565,4.935278,11
602,HOEK VAN HOLLAND,NL,51.990833,4.121667,11
603,LEEUWARDEN,NL,53.223056,5.751667,0
696,SWINOUJSCIE,PL,53.923056,14.241944,5
701,SALO KARKKA,FI,60.373333,23.115833,3
702,LOHJA PORLA,FI,60.243889,24.0525,37
703,PORVOO JERNBOLE,FI,60.405556,25.658889,17
704,PORI PORIN LENTOASEMA,FI,61.465556,21.796667,13
706,TURKU TURUN LENTOASEMA,FI,60.515278,22.2775,49
707,KOKEMAKI PEIPOHJA HYRKOLA,FI,61.270556,22.251944,37
708,JOKIOINEN JOKIOISTEN OBSERVATORIO,FI,60.813889,23.500556,104
709,HATTULA LEPAA-1,FI,61.126944,24.335833,87
713,KANKAANPAA NIINISALO PUOLUSTUSVOIMAT,FI,61.838056,22.466944,124
715,VARKAUS KAPYKANGAS,FI,62.308056,27.844167,91
716,TOHMAJARVI KEMIE,FI,62.235,30.349444,90
718,AHTARI MYLLYMAKI,FI,62.534444,24.220556,157
722,MAANINKA HALOLA,FI,63.143056,27.315833,90
725,KAJAANI LENTOASEMA-1,FI,64.281389,27.678333,147
726,VIEREMA KAARAKKALA,FI,63.840556,27.224167,207
730,VAALA PELSO,FI,64.500833,26.4275,114
731,TAIVALKOSKI KK,FI,65.583056,28.25,209
